Categoría,Subcategoría,Solución / Empresa,Convocatoria Postulación,Período Verificación Técnica,Fecha Publicación Web,Fecha Testimonio Validación,URL Ficha INIA,URL Reporte Verificación (PDF),URL Informe Detallado Extendido (PDF),URL Testimonio Validación,Tipo Testimonio,URL Ficha Gráfica,URL Sitio Web Oficial
Producción Animal,Lechería,HerdVision,Abril 2024,Julio a Octubre 2025,2025-11-17,2026-01-19,https://inia.uy/Converge/Producción-animal/Lechería/HerdVision,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/HerdVision/Reporte_Herdvision.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/HerdVision/Informe_Herdvision.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/HerdVision/Testimonio_Herdvision.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/HerdVision/HerdvisionFichaWeb.png,https://herd.vision/
Producción Animal,Lechería,SmaXtec,Abril 2024,Años 2020 a 2021 (Ensayos corral y pH),2025-02-04,2026-01-19,https://inia.uy/Converge/Producción-animal/Lechería/Smaxtec,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/SmaXtec/Reporte%20SmaXtec.pdf,,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/SmaXtec/Testimonio_SmaXtec.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/SmaXtec/SmaXtecFichaWeb.png,https://krebz.com.uy/
Producción Animal,Porcinos,metaBix,Abril 2024,Agosto a Noviembre 2025 (9 sem. recría/preengorde),2025-12-02,2026-01-19,https://inia.uy/Converge/Producción-animal/Porcinos/metaBix,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix/Reporte_metaBix_porcinos.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix/Informe_metaBIX_porcinos.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix/Testimonio_metaBIX_porcinos.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix/Ficha_metaBIX_Porcinos.png,https://metabixbiotech.com/es/inicio
Producción Animal,Avicola,metaBix Avícola,Abril 2024,Octubre a Diciembre 2025 (Engorde y postura),2026-01-07,2026-01-19,https://inia.uy/Converge/producci%C3%B3n-animal/avicola/metaBix-avicola,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix_avicola/Reporte_metaBix_avicola.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix_avicola/Informe_metaBIX_avicola.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix_avicola/Testimonio_metaBIX_avicola.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/metaBix_avicola/Ficha_metaBIX_avicola.png,https://metabixbiotech.com/es/inicio
Vegetal Intensivo,Riego,Autolink,Octubre 2024,Febrero a Abril 2025,2025-06-26,2025-06-26,https://inia.uy/Converge/vegetal-intensivo/riego/Autolink,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Autolink/Reporte%20Autolink.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Autolink/Informe%20Autolink.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Autolink/Videotestimonio_Autolink.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Autolink/AutolinkFichaWeb.png,https://autolink.com.uy/
Vegetal Intensivo,Riego,Nettra_Riego,Septiembre 2023,Junio 2024 a Junio 2025 (INIA Las Brujas),2025-08-08,2026-01-19,https://inia.uy/Converge/vegetal-intensivo/riego/Nettra,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Nettra_Riego/Reporte%20Nettra%20Riego.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Nettra_Riego/Informe%20Nettra%20Riego.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Nettra_Riego/Testimonio%20Nettra%20Riego.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Nettra_Riego/NettraFichaWebRiego.png,https://nettra.tech/
Vegetal Intensivo,Riego,Wisflow,Abril 2024,Enero a Febrero 2025 (INIA La Estanzuela),2025-02-04,2025-02-04,https://inia.uy/Converge/vegetal-intensivo/riego/Wisflow,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Wisflow/Reporte%20Wisflow_MC.pdf,,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Wisflow/Video_Wisflow.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Wisflow/WisflowFichaWeb.png,https://www.wisflow.uy/
Vegetal Intensivo,Control De Aplicación,SensorData,Mayo 2025,Ciclos de aplicación 2025–2026 (Vid y frutales),2026-06-26,2026-06-26,https://inia.uy/Converge/vegetal-intensivo/Control-de-aplicaci%C3%B3n/SensorData,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/SensorData/REPORTE%20SENSORDATA.pdf,,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/SensorData/Testimonio%20SensorData.pdf,PDF,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/SensorData/ficha%20web%20SensorData.png,https://sensordata.com.uy/
Vegetal Intensivo,Hidroponia,Nettra,Octubre 2024,Setiembre a Diciembre 2024 (Verdeagua),2025-02-04,2025-02-04,https://inia.uy/Converge/vegetal-intensivo/hidroponia/Nettra,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Nettra/Reporte%20Nettra%20Hidroponia.pdf,,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Nettra/Nettra_Testimonio.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/Nettra/NettraFichaWeb.png,https://nettra.tech/
Vegetal Intensivo,Gestión De Operaciones,TGA,Octubre 2025,Febrero a Julio 2026 (Pruebas operativas en campo),2026-07-23,2026-07-23,https://inia.uy/Converge/vegetal-intensivo/gesti%C3%B3n-de-operaciones/tga,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/TGA/Reporte%20TGA.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/TGA/Informe%20TGA.pdf,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/TGA/entrevista%20tga.mp4,Video,https://inia.uy/sites/default/files/gras/contenidogras/Reportes/Converge/PaginasProductos/TGA/TGA-ficha.png,https://tugestionagropecuaria.com/
